,Entity,Code,Day,Cases,Deaths,Disease
273,India,IND,2020-10-04,556841.0,7279.0,Covid-19
274,India,IND,2020-10-05,0.0,0.0,Covid-19
275,India,IND,2020-10-06,0.0,0.0,Covid-19
276,India,IND,2020-10-07,0.0,0.0,Covid-19
277,India,IND,2020-10-08,0.0,0.0,Covid-19
278,India,IND,2020-10-09,0.0,0.0,Covid-19
279,India,IND,2020-10-10,0.0,0.0,Covid-19
280,India,IND,2020-10-11,504433.0,6552.0,Covid-19
281,India,IND,2020-10-12,0.0,0.0,Covid-19
282,India,IND,2020-10-13,0.0,0.0,Covid-19
283,India,IND,2020-10-14,0.0,0.0,Covid-19
284,India,IND,2020-10-15,0.0,0.0,Covid-19
285,India,IND,2020-10-16,0.0,0.0,Covid-19
286,India,IND,2020-10-17,0.0,0.0,Covid-19
287,India,IND,2020-10-18,440745.0,5697.0,Covid-19
288,India,IND,2020-10-19,0.0,0.0,Covid-19
289,India,IND,2020-10-20,0.0,0.0,Covid-19
290,India,IND,2020-10-21,0.0,0.0,Covid-19
291,India,IND,2020-10-22,0.0,0.0,Covid-19
292,India,IND,2020-10-23,0.0,0.0,Covid-19
293,India,IND,2020-10-24,0.0,0.0,Covid-19
294,India,IND,2020-10-25,370260.0,4503.0,Covid-19
295,India,IND,2020-10-26,0.0,0.0,Covid-19
296,India,IND,2020-10-27,0.0,0.0,Covid-19
297,India,IND,2020-10-28,0.0,0.0,Covid-19
298,India,IND,2020-10-29,0.0,0.0,Covid-19
299,India,IND,2020-10-30,0.0,0.0,Covid-19
300,India,IND,2020-10-31,0.0,0.0,Covid-19
301,India,IND,2020-11-01,319271.0,3577.0,Covid-19
302,India,IND,2020-11-02,0.0,0.0,Covid-19
303,India,IND,2020-11-03,0.0,0.0,Covid-19
304,India,IND,2020-11-04,0.0,0.0,Covid-19
305,India,IND,2020-11-05,0.0,0.0,Covid-19
306,India,IND,2020-11-06,0.0,0.0,Covid-19
307,India,IND,2020-11-07,0.0,0.0,Covid-19
308,India,IND,2020-11-08,323672.0,4010.0,Covid-19
309,India,IND,2020-11-09,0.0,0.0,Covid-19
310,India,IND,2020-11-10,0.0,0.0,Covid-19
311,India,IND,2020-11-11,0.0,0.0,Covid-19
312,India,IND,2020-11-12,0.0,0.0,Covid-19
313,India,IND,2020-11-13,0.0,0.0,Covid-19
314,India,IND,2020-11-14,0.0,0.0,Covid-19
315,India,IND,2020-11-15,306825.0,3514.0,Covid-19
316,India,IND,2020-11-16,0.0,0.0,Covid-19
317,India,IND,2020-11-17,0.0,0.0,Covid-19
318,India,IND,2020-11-18,0.0,0.0,Covid-19
319,India,IND,2020-11-19,0.0,0.0,Covid-19
320,India,IND,2020-11-20,0.0,0.0,Covid-19
321,India,IND,2020-11-21,0.0,0.0,Covid-19
322,India,IND,2020-11-22,281227.0,3592.0,Covid-19
323,India,IND,2020-11-23,0.0,0.0,Covid-19
324,India,IND,2020-11-24,0.0,0.0,Covid-19
325,India,IND,2020-11-25,0.0,0.0,Covid-19
326,India,IND,2020-11-26,0.0,0.0,Covid-19
327,India,IND,2020-11-27,0.0,0.0,Covid-19
328,India,IND,2020-11-28,0.0,0.0,Covid-19
329,India,IND,2020-11-29,297113.0,3469.0,Covid-19
330,India,IND,2020-11-30,0.0,0.0,Covid-19
331,India,IND,2020-12-01,0.0,0.0,Covid-19
332,India,IND,2020-12-02,0.0,0.0,Covid-19
333,India,IND,2020-12-03,0.0,0.0,Covid-19
334,India,IND,2020-12-04,0.0,0.0,Covid-19
335,India,IND,2020-12-05,0.0,0.0,Covid-19
336,India,IND,2020-12-06,251303.0,3486.0,Covid-19
337,India,IND,2020-12-07,0.0,0.0,Covid-19
338,India,IND,2020-12-08,0.0,0.0,Covid-19
339,India,IND,2020-12-09,0.0,0.0,Covid-19
340,India,IND,2020-12-10,0.0,0.0,Covid-19
341,India,IND,2020-12-11,0.0,0.0,Covid-19
342,India,IND,2020-12-12,0.0,0.0,Covid-19
343,India,IND,2020-12-13,212807.0,2837.0,Covid-19
344,India,IND,2020-12-14,0.0,0.0,Covid-19
345,India,IND,2020-12-15,0.0,0.0,Covid-19
346,India,IND,2020-12-16,0.0,0.0,Covid-19
347,India,IND,2020-12-17,0.0,0.0,Covid-19
348,India,IND,2020-12-18,0.0,0.0,Covid-19
349,India,IND,2020-12-19,0.0,0.0,Covid-19
350,India,IND,2020-12-20,174194.0,2458.0,Covid-19
351,India,IND,2020-12-21,0.0,0.0,Covid-19
352,India,IND,2020-12-22,0.0,0.0,Covid-19
353,India,IND,2020-12-23,0.0,0.0,Covid-19
354,India,IND,2020-12-24,0.0,0.0,Covid-19
355,India,IND,2020-12-25,0.0,0.0,Covid-19
356,India,IND,2020-12-26,0.0,0.0,Covid-19
357,India,IND,2020-12-27,156627.0,2145.0,Covid-19
358,India,IND,2020-12-28,0.0,0.0,Covid-19
359,India,IND,2020-12-29,0.0,0.0,Covid-19
360,India,IND,2020-12-30,0.0,0.0,Covid-19
361,India,IND,2020-12-31,0.0,0.0,Covid-19
362,India,IND,2021-01-01,0.0,0.0,Covid-19
363,India,IND,2021-01-02,0.0,0.0,Covid-19
364,India,IND,2021-01-03,136115.0,1813.0,Covid-19
365,India,IND,2021-01-04,0.0,0.0,Covid-19
366,India,IND,2021-01-05,0.0,0.0,Covid-19
367,India,IND,2021-01-06,0.0,0.0,Covid-19
368,India,IND,2021-01-07,0.0,0.0,Covid-19
369,India,IND,2021-01-08,0.0,0.0,Covid-19
370,India,IND,2021-01-09,0.0,0.0,Covid-19
371,India,IND,2021-01-10,126319.0,1564.0,Covid-19
372,India,IND,2021-01-11,0.0,0.0,Covid-19
373,India,IND,2021-01-12,0.0,0.0,Covid-19
374,India,IND,2021-01-13,0.0,0.0,Covid-19
375,India,IND,2021-01-14,0.0,0.0,Covid-19
376,India,IND,2021-01-15,0.0,0.0,Covid-19
377,India,IND,2021-01-16,0.0,0.0,Covid-19
378,India,IND,2021-01-17,107701.0,1275.0,Covid-19
379,India,IND,2021-01-18,0.0,0.0,Covid-19
380,India,IND,2021-01-19,0.0,0.0,Covid-19
381,India,IND,2021-01-20,0.0,0.0,Covid-19
382,India,IND,2021-01-21,0.0,0.0,Covid-19
383,India,IND,2021-01-22,0.0,0.0,Covid-19
384,India,IND,2021-01-23,0.0,0.0,Covid-19
385,India,IND,2021-01-24,96548.0,1065.0,Covid-19
386,India,IND,2021-01-25,0.0,0.0,Covid-19
387,India,IND,2021-01-26,0.0,0.0,Covid-19
388,India,IND,2021-01-27,0.0,0.0,Covid-19
389,India,IND,2021-01-28,0.0,0.0,Covid-19
390,India,IND,2021-01-29,0.0,0.0,Covid-19
391,India,IND,2021-01-30,0.0,0.0,Covid-19
392,India,IND,2021-01-31,91650.0,935.0,Covid-19
393,India,IND,2021-02-01,0.0,0.0,Covid-19
394,India,IND,2021-02-02,0.0,0.0,Covid-19
395,India,IND,2021-02-03,0.0,0.0,Covid-19
396,India,IND,2021-02-04,0.0,0.0,Covid-19
397,India,IND,2021-02-05,0.0,0.0,Covid-19
398,India,IND,2021-02-06,0.0,0.0,Covid-19
399,India,IND,2021-02-07,80180.0,722.0,Covid-19
400,India,IND,2021-02-08,0.0,0.0,Covid-19
401,India,IND,2021-02-09,0.0,0.0,Covid-19
402,India,IND,2021-02-10,0.0,0.0,Covid-19
403,India,IND,2021-02-11,0.0,0.0,Covid-19
404,India,IND,2021-02-12,0.0,0.0,Covid-19
405,India,IND,2021-02-13,0.0,0.0,Covid-19
406,India,IND,2021-02-14,78577.0,646.0,Covid-19
407,India,IND,2021-02-15,0.0,0.0,Covid-19
408,India,IND,2021-02-16,0.0,0.0,Covid-19
409,India,IND,2021-02-17,0.0,0.0,Covid-19
410,India,IND,2021-02-18,0.0,0.0,Covid-19
411,India,IND,2021-02-19,0.0,0.0,Covid-19
412,India,IND,2021-02-20,0.0,0.0,Covid-19
413,India,IND,2021-02-21,86711.0,660.0,Covid-19
414,India,IND,2021-02-22,0.0,0.0,Covid-19
415,India,IND,2021-02-23,0.0,0.0,Covid-19
416,India,IND,2021-02-24,0.0,0.0,Covid-19
